,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
0,0.7897,0.245,3.229,0.001,0.31,1.269,0.0012404561411952467,Negative,1,DPA1*02:02,HLA-HD,1.0,-0.0
1,0.2413,0.235,1.027,0.304,-0.219,0.702,0.30423685781871956,Negative,2,DPA1*02:02,HLA-HD,1.0,-0.0
2,0.2672,0.227,1.177,0.239,-0.178,0.712,0.23912720677843968,Negative,3,DPA1*02:02,HLA-HD,1.0,-0.0
3,0.3356,0.24,1.399,0.162,-0.135,0.806,0.16184494819490258,Negative,4,DPA1*02:02,HLA-HD,1.0,-0.0
4,0.4415,0.235,1.878,0.06,-0.019,0.902,0.06040531542254788,Negative,5,DPA1*02:02,HLA-HD,1.0,-0.0
5,0.6242,0.239,2.61,0.009,0.156,1.093,0.009044357299581808,Negative,6,DPA1*02:02,HLA-HD,1.0,-0.0
6,0.0437,0.228,0.192,0.848,-0.402,0.49,0.847711107423734,Negative,7,DPA1*02:02,HLA-HD,1.0,-0.0
7,0.6797,0.252,2.703,0.007,0.187,1.173,0.006880024863541538,Negative,8,DPA1*02:02,HLA-HD,1.0,-0.0
8,1.0757,0.26,4.134,0.0,0.566,1.586,3.557286171163658e-05,Negative,9,DPA1*02:02,HLA-HD,1.0,-0.0
9,0.7422,0.244,3.044,0.002,0.264,1.22,0.002337167965443857,Negative,10,DPA1*02:02,HLA-HD,1.0,-0.0
10,0.1177,0.229,0.515,0.607,-0.33,0.566,0.6065483492938033,Negative,11,DPA1*02:02,HLA-HD,1.0,-0.0
11,0.1818,0.234,0.775,0.438,-0.278,0.641,0.438252558635042,Negative,12,DPA1*02:02,HLA-HD,1.0,-0.0
12,0.6543,0.228,2.865,0.004,0.207,1.102,0.0041742394580395305,Negative,13,DPA1*02:02,HLA-HD,1.0,-0.0
13,0.3501,0.244,1.435,0.151,-0.128,0.828,0.1512667912892317,Negative,14,DPA1*02:02,HLA-HD,1.0,-0.0
14,0.9647,0.25,3.855,0.0,0.474,1.455,0.00011595430888284599,Negative,15,DPA1*02:02,HLA-HD,1.0,-0.0
15,0.266,0.243,1.094,0.274,-0.211,0.742,0.2739816351988782,Negative,16,DPA1*02:02,HLA-HD,1.0,-0.0
