,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
0,-0.4294,0.186,-2.315,0.021,-0.793,-0.066,0.02061920925502688,Negative,1,DPA1*02:02,HLA-HD,1.0,-0.0
1,-0.6788,0.178,-3.819,0.0,-1.027,-0.33,0.00013412239563940844,Negative,2,DPA1*02:02,HLA-HD,1.0,-0.0
2,-0.485,0.185,-2.628,0.009,-0.847,-0.123,0.008591998766747766,Negative,3,DPA1*02:02,HLA-HD,1.0,-0.0
3,-0.5822,0.183,-3.187,0.001,-0.94,-0.224,0.0014368829092451913,Negative,4,DPA1*02:02,HLA-HD,1.0,-0.0
4,-0.3437,0.176,-1.952,0.051,-0.689,0.001,0.050981403903050816,Negative,5,DPA1*02:02,HLA-HD,1.0,-0.0
5,-0.8723,0.191,-4.578,0.0,-1.246,-0.499,4.687718541486168e-06,Negative,6,DPA1*02:02,HLA-HD,0.4724657763593079,0.32562964467134276
6,-0.3146,0.181,-1.741,0.082,-0.669,0.04,0.08174089981389925,Negative,7,DPA1*02:02,HLA-HD,1.0,-0.0
7,-0.6873,0.183,-3.746,0.0,-1.047,-0.328,0.00017987004067046715,Negative,8,DPA1*02:02,HLA-HD,1.0,-0.0
8,-0.7465,0.184,-4.047,0.0,-1.108,-0.385,5.1912494579821366e-05,Negative,9,DPA1*02:02,HLA-HD,1.0,-0.0
9,-0.8617,0.189,-4.561,0.0,-1.232,-0.491,5.086606666750181e-06,Negative,10,DPA1*02:02,HLA-HD,0.5117228038884016,0.2909652291443015
10,-0.5593,0.181,-3.091,0.002,-0.914,-0.205,0.0019944049810198825,Negative,11,DPA1*02:02,HLA-HD,1.0,-0.0
11,-0.5379,0.185,-2.911,0.004,-0.9,-0.176,0.0036045536258220933,Negative,12,DPA1*02:02,HLA-HD,1.0,-0.0
12,-0.5248,0.183,-2.875,0.004,-0.883,-0.167,0.0040437551712835425,Negative,13,DPA1*02:02,HLA-HD,1.0,-0.0
13,-0.7335,0.188,-3.906,0.0,-1.102,-0.365,9.382405659823196e-05,Negative,14,DPA1*02:02,HLA-HD,1.0,-0.0
14,-0.5922,0.186,-3.187,0.001,-0.956,-0.228,0.0014385397575966481,Negative,15,DPA1*02:02,HLA-HD,1.0,-0.0
15,-0.5267,0.179,-2.939,0.003,-0.878,-0.175,0.003290361573480041,Negative,16,DPA1*02:02,HLA-HD,1.0,-0.0
16,-0.6331,0.18,-3.518,0.0,-0.986,-0.28,0.0004342976368922424,Negative,17,DPA1*02:02,HLA-HD,1.0,-0.0
17,-0.5132,0.188,-2.725,0.006,-0.882,-0.144,0.006429893369489227,Negative,18,DPA1*02:02,HLA-HD,1.0,-0.0
18,-0.4632,0.182,-2.544,0.011,-0.82,-0.106,0.010950123160835858,Negative,19,DPA1*02:02,HLA-HD,1.0,-0.0
19,-0.634,0.182,-3.485,0.0,-0.991,-0.277,0.0004929939765907097,Negative,20,DPA1*02:02,HLA-HD,1.0,-0.0
20,-0.6136,0.18,-3.413,0.001,-0.966,-0.261,0.0006432811808195649,Negative,21,DPA1*02:02,HLA-HD,1.0,-0.0
21,-0.7842,0.187,-4.194,0.0,-1.151,-0.418,2.74104999768939e-05,Negative,22,DPA1*02:02,HLA-HD,1.0,-0.0
22,-0.2371,0.183,-1.295,0.195,-0.596,0.122,0.19534154991962316,Negative,23,DPA1*02:02,HLA-HD,1.0,-0.0
23,-0.8219,0.193,-4.25,0.0,-1.201,-0.443,2.136925158160307e-05,Negative,24,DPA1*02:02,HLA-HD,1.0,-0.0
24,-0.9289,0.186,-4.994,0.0,-1.294,-0.564,5.920625197295331e-07,Negative,25,DPA1*02:02,HLA-HD,0.06169350661833708,1.2097605440417614
25,-0.4991,0.177,-2.814,0.005,-0.847,-0.151,0.004897540411425069,Negative,26,DPA1*02:02,HLA-HD,1.0,-0.0
26,-0.6362,0.183,-3.476,0.001,-0.995,-0.277,0.0005088828954717242,Negative,27,DPA1*02:02,HLA-HD,1.0,-0.0
27,-0.5914,0.19,-3.108,0.002,-0.964,-0.218,0.0018816642267712764,Negative,28,DPA1*02:02,HLA-HD,1.0,-0.0
28,-0.7867,0.182,-4.315,0.0,-1.144,-0.429,1.5965480229581586e-05,Negative,29,DPA1*02:02,HLA-HD,1.0,-0.0
29,-0.7863,0.191,-4.11,0.0,-1.161,-0.411,3.9522004613245765e-05,Negative,30,DPA1*02:02,HLA-HD,1.0,-0.0
30,-0.4507,0.183,-2.469,0.014,-0.808,-0.093,0.013530251330428223,Negative,31,DPA1*02:02,HLA-HD,1.0,-0.0
31,-0.3504,0.179,-1.954,0.051,-0.702,0.001,0.05067774781723421,Negative,32,DPA1*02:02,HLA-HD,1.0,-0.0
32,-0.8158,0.194,-4.204,0.0,-1.196,-0.436,2.6169513919815344e-05,Negative,33,DPA1*02:02,HLA-HD,1.0,-0.0
33,-0.4788,0.175,-2.731,0.006,-0.822,-0.135,0.006310285643945143,Negative,34,DPA1*02:02,HLA-HD,1.0,-0.0
34,-0.5973,0.193,-3.097,0.002,-0.975,-0.219,0.001953760517052303,Negative,35,DPA1*02:02,HLA-HD,1.0,-0.0
35,-0.3791,0.174,-2.178,0.029,-0.72,-0.038,0.029404529506467766,Negative,36,DPA1*02:02,HLA-HD,1.0,-0.0
36,-0.6006,0.192,-3.133,0.002,-0.976,-0.225,0.0017303073342304182,Negative,37,DPA1*02:02,HLA-HD,1.0,-0.0
37,-0.8565,0.181,-4.733,0.0,-1.211,-0.502,2.2110465009453635e-06,Negative,38,DPA1*02:02,HLA-HD,0.22582744542055566,0.6462232782198493
38,-0.3082,0.175,-1.76,0.078,-0.651,0.035,0.0784200215131077,Negative,39,DPA1*02:02,HLA-HD,1.0,-0.0
39,-0.0584,0.184,-0.317,0.751,-0.419,0.302,0.7510555852261401,Negative,40,DPA1*02:02,HLA-HD,1.0,-0.0
40,-0.7237,0.183,-3.963,0.0,-1.082,-0.366,7.408185831674408e-05,Negative,41,DPA1*02:02,HLA-HD,1.0,-0.0
41,-0.8369,0.182,-4.592,0.0,-1.194,-0.48,4.399781144458374e-06,Negative,42,DPA1*02:02,HLA-HD,0.44394671703813887,0.3526691512478437
42,-0.3189,0.182,-1.751,0.08,-0.676,0.038,0.07986542277765195,Negative,43,DPA1*02:02,HLA-HD,1.0,-0.0
43,-0.903,0.186,-4.842,0.0,-1.268,-0.537,1.2831646948617382e-06,Negative,44,DPA1*02:02,HLA-HD,0.1322070248409946,0.8787454679318832
44,-0.7406,0.191,-3.881,0.0,-1.115,-0.367,0.00010395713685919667,Negative,45,DPA1*02:02,HLA-HD,1.0,-0.0
45,-0.404,0.179,-2.257,0.024,-0.755,-0.053,0.023998440839395303,Negative,46,DPA1*02:02,HLA-HD,1.0,-0.0
46,-0.3176,0.177,-1.793,0.073,-0.665,0.03,0.0729646489023599,Negative,47,DPA1*02:02,HLA-HD,1.0,-0.0
47,-0.8231,0.179,-4.586,0.0,-1.175,-0.471,4.526598735199634e-06,Negative,48,DPA1*02:02,HLA-HD,0.45651200904361827,0.3405477933919461
48,-0.9704,0.197,-4.923,0.0,-1.357,-0.584,8.532723579434016e-07,Negative,49,DPA1*02:02,HLA-HD,0.08844082662847563,1.0533472068609875
49,-0.8733,0.181,-4.825,0.0,-1.228,-0.519,1.3993364126423047e-06,Negative,50,DPA1*02:02,HLA-HD,0.14399171686089315,0.8416624900233136
50,-0.9211,0.187,-4.929,0.0,-1.287,-0.555,8.245008292286586e-07,Negative,51,DPA1*02:02,HLA-HD,0.08550320949349959,1.0680175830594787
51,-0.8626,0.18,-4.792,0.0,-1.215,-0.51,1.6507253927142935e-06,Negative,52,DPA1*02:02,HLA-HD,0.1694106456034825,0.7710593024965562
52,-0.3967,0.18,-2.205,0.027,-0.749,-0.044,0.027479422473494778,Negative,53,DPA1*02:02,HLA-HD,1.0,-0.0
53,-0.7119,0.179,-3.973,0.0,-1.063,-0.361,7.107375885412423e-05,Negative,54,DPA1*02:02,HLA-HD,1.0,-0.0
54,-0.4954,0.179,-2.772,0.006,-0.846,-0.145,0.005570295829269141,Negative,55,DPA1*02:02,HLA-HD,1.0,-0.0
55,-0.6595,0.177,-3.716,0.0,-1.007,-0.312,0.0002023471745985248,Negative,56,DPA1*02:02,HLA-HD,1.0,-0.0
56,-0.5657,0.182,-3.106,0.002,-0.923,-0.209,0.0018992877916488584,Negative,57,DPA1*02:02,HLA-HD,1.0,-0.0
57,-0.315,0.181,-1.744,0.081,-0.669,0.039,0.08113717156663808,Negative,58,DPA1*02:02,HLA-HD,1.0,-0.0
58,-0.2987,0.189,-1.584,0.113,-0.668,0.071,0.11321202078994651,Negative,59,DPA1*02:02,HLA-HD,1.0,-0.0
59,-0.548,0.182,-3.006,0.003,-0.905,-0.191,0.0026435305357245583,Negative,60,DPA1*02:02,HLA-HD,1.0,-0.0
60,-0.7655,0.18,-4.243,0.0,-1.119,-0.412,2.207155939427231e-05,Negative,61,DPA1*02:02,HLA-HD,1.0,-0.0
61,-0.1772,0.184,-0.961,0.337,-0.539,0.184,0.33678920841658,Negative,62,DPA1*02:02,HLA-HD,1.0,-0.0
62,-0.5908,0.182,-3.248,0.001,-0.947,-0.234,0.0011624793405982203,Negative,63,DPA1*02:02,HLA-HD,1.0,-0.0
63,-0.7946,0.177,-4.491,0.0,-1.141,-0.448,7.081984731089323e-06,Negative,64,DPA1*02:02,HLA-HD,0.7078656198265711,0.15004918031445308
64,-0.6616,0.181,-3.651,0.0,-1.017,-0.306,0.00026106063672088627,Negative,65,DPA1*02:02,HLA-HD,1.0,-0.0
65,-0.5959,0.186,-3.195,0.001,-0.961,-0.23,0.0013961187287639496,Negative,66,DPA1*02:02,HLA-HD,1.0,-0.0
66,-0.5051,0.177,-2.861,0.004,-0.851,-0.159,0.004223674683932205,Negative,67,DPA1*02:02,HLA-HD,1.0,-0.0
