,,Age,Age,Age,Age,Age,fx1,fx2,fx22,fx5,gx2,t20,wx1,phad
,,count,min,max,median,std,sum,sum,sum,sum,sum,sum,sum,sum
Ethnicity,Gender,,,,,,,,,,,,,
Bahrain,Female,2,35,36,35.5,0.7071067811865476,0,0,0,0,0,1,1,2
Bahrain,Male,1,57,57,57.0,,1,1,1,1,1,1,1,1
Jordan,Female,1,40,40,40.0,,0,0,0,0,0,0,0,1
Jordan,Male,1,43,43,43.0,,0,0,0,0,0,0,0,0
Kuwait,Female,1,24,24,24.0,,0,0,0,0,0,0,0,0
Morocco,Female,1,46,46,46.0,,0,0,0,1,0,0,0,0
Qatari,Female,500,19,81,40.0,12.936847376392757,21,89,36,64,57,46,121,241
Qatari,Male,280,19,81,40.0,13.008984547436937,13,69,28,35,43,29,87,150
Saudi Arabia,Female,3,19,60,37.0,20.55075018906447,0,0,0,0,0,0,0,1
Syrian Arab Republic (Syria),Male,3,42,46,44.0,2.0,0,0,0,0,1,0,0,1
Yemen Arab Republic,Female,3,28,33,32.0,2.6457513110645907,0,0,0,0,0,0,1,3
Yemen Arab Republic,Male,1,23,23,23.0,,0,0,0,0,0,0,0,0
